date,rank,album,artist
2025-11-08,102,Channel Orange,Frank Ocean
2025-11-08,103,Traveller,Chris Stapleton
2025-11-08,104,I Never Liked You,Future
2025-11-08,105,AM,Arctic Monkeys
2025-11-08,106,DAMN.,Kendrick Lamar
2025-11-08,107,Greatest Hits,Creed
2025-11-08,108,T R A P S O U L,Bryson Tiller
2025-11-08,109,Tropicoqueta,Karol G
2025-11-08,110,Perfect Storm: Sorry 4 The Rain,Hurricane Wisdom
2025-11-08,111,Thank Me Later,Drake
2025-11-08,112,American Heart,Benson Boone
2025-11-08,113,Cold Beer & Country Music,Zach Top
2025-11-08,114,If I Know Me,Morgan Wallen
2025-11-08,115,Doo-Wops & Hooligans,Bruno Mars
2025-11-08,116,Teenage Dream,Katy Perry
2025-11-08,117,CHROMAKOPIA,"Tyler, the Creator"
2025-11-08,118,West End Girl,Lily Allen
2025-11-08,119,Greatest Hits,Fleetwood Mac
2025-11-08,120,Freudian,Daniel Caesar
2025-11-08,121,"When We All Fall Asleep, Where Do We Go?",Billie Eilish
2025-11-08,122,Never Enough,Daniel Caesar
2025-11-08,123,Greatest Hits,Tom Petty And The Heartbreakers
2025-11-08,124,Born To Die,Lana Del Rey
2025-11-08,125,ANTI,Rihanna
2025-11-08,126,Own Worst Enemy,Gavin Adcock
2025-11-08,127,What Not To,Tucker Wetmore
2025-11-08,128,Child Of God,Forrest Frank
2025-11-08,129,Greatest Hits,2Pac
2025-11-08,130,Starting Over,Chris Stapleton
2025-11-08,131,Goodbye & Good Riddance,Juice WRLD
2025-11-08,132,35 Biggest Hits,Toby Keith
2025-11-08,133,Even In Arcadia,Sleep Token
2025-11-08,134,The Great American Bar Scene,Zach Bryan
2025-11-08,135,Greatest Hits,Guns N' Roses
2025-11-08,136,Breach,Twenty One Pilots
2025-11-08,137,Last Lap,Rod Wave
2025-11-08,138,T-Pain Presents Happy Hour: The Greatest Hits,T-Pain
2025-11-08,139,2014 Forest Hills Drive,J. Cole
2025-11-08,140,The Very Best Of Daryl Hall  John Oates,Daryl Hall  John Oates
2025-11-08,141,Heroes & Villains,Metro Boomin
2025-11-08,142,All Time Greatest Hits,Lynyrd Skynyrd
2025-11-08,143,House Of Balloons,The Weeknd
2025-11-08,144,More Life,Drake
2025-11-08,145,Sex Hysteria,jessie murph
2025-11-08,146,1989 (Taylor's Version),Taylor Swift
2025-11-08,147,The Best Of Sade,Sade
2025-11-08,148,Tha Carter III,Lil Wayne
2025-11-08,149,King Of Hearts,Brandon Lake
2025-11-08,150,1989,Taylor Swift
2025-11-08,151,Toxicity,System of a Down
2025-11-08,152,Utopia,Travis Scott
2025-11-08,153,Gold: Greatest Hits,ABBA
2025-11-08,154,Exodo,Peso Pluma
2025-11-08,155,OK Computer,Radiohead
